Process_ID,Stream_Site,Watershed
DHSSI245-23,Shady Creek,South Yuba
DHSSI025-23,Pauley Creek,North Yuba
DHSSI037-23,Goodyears Creek,North Yuba
DHSSI146-23,Goodyears Creek,North Yuba
DHSSI240-23,Shady Creek,South Yuba
DHSSI305-23,Haypress Creek,North Yuba
DHSSI370-23,Shady Creek,South Yuba
DHSSI009-23,Deer Creek 10,South Yuba
DHSSI102-23,Poorman Creek,South Yuba
DHSSI125-23,S Fk Yuba Golden Quartz,South Yuba
DHSSI221-23,Deer Creek 10,South Yuba
DHSSI242-23,Shady Creek,South Yuba
DHSSI294-23,Rush Creek,South Yuba
DHSSI100-23,Poorman Creek,South Yuba
DHSSI126-23,S Fk Yuba Golden Quartz,South Yuba
DHSSI211-23,Lower Yuba,Yuba
DHSSI014-23,Goodyears Creek,North Yuba
DHSSI050-23,Poorman Creek,South Yuba
DHSSI289-23,Rush Creek,South Yuba
DHSSI331-23,Fall Creek,South Yuba
DHSSI086-23,Rattlesnake,South Yuba
DHSSI194-23,Goodyears Creek,North Yuba
DHSSI087-23,Rattlesnake,South Yuba
DHSSI330-23,Fall Creek,South Yuba
DHSSI179-23,Haypress Creek,North Yuba
DHSSI333-23,Fall Creek,South Yuba
DHSSI220-23,Deer Creek 10,South Yuba
DHSSI329-23,Fall Creek,South Yuba
DHSSI148-23,Goodyears Creek,North Yuba
DHSSI293-23,Rush Creek,South Yuba
DHSSI349-23,Poorman Creek,South Yuba
DHSSI371-23,Shady Creek,South Yuba
DHSSI193-23,Goodyears Creek,North Yuba
DHSSI003-23,Goodyears Creek,North Yuba
DHSSI124-23,S Fk Yuba Golden Quartz,South Yuba
DHSSI140-23,Rattlesnake,South Yuba
DHSSI010-23,Goodyears Creek,North Yuba
DHSSI135-23,Rattlesnake,South Yuba
DHSSI200-23,Goodyears Creek,North Yuba
DHSSI311-23,Haypress Creek,North Yuba
DHSSI177-23,Haypress Creek,North Yuba
DHSSI131-23,S Fk Yuba Golden Quartz,South Yuba
DHSSI136-23,Rattlesnake,South Yuba
DHSSI238-23,Deer Creek 2,South Yuba
DHSSI352-23,Poorman Creek,South Yuba
DHSSI048-23,Poorman Creek,South Yuba
DHSSI280-23,Rock Creek,South Yuba
DHSSI365-23,Fall Creek,South Yuba
DHSSI350-23,Poorman Creek,South Yuba
DHSSI348-23,Poorman Creek,South Yuba
DHSSI255-23,S.Fk.Yuba Purdon,South Yuba
DHSSI034-23,S Fk Yuba Golden Quartz,South Yuba
DHSSI049-23,Poorman Creek,South Yuba
DHSSI021-23,Goodyears Creek,North Yuba
DHSSI063-23,"Oregon Creek, above Ridge Rd",Middle Yuba
DHSSI147-23,Goodyears Creek,North Yuba
DHSSI166-23,Rush Creek,South Yuba
DHSSI351-23,Poorman Creek,South Yuba
DHSSI012-23,Deer Creek 10,South Yuba
DHSSI259-23,S.Fk.Yuba Purdon,South Yuba
DHSSI038-23,Bear River 1,Bear
DHSSI106-23,Poorman Creek,South Yuba
DHSSI185-23,Haypress Creek,North Yuba
DHSSI026-23,Bear River 1,Bear
DHSSI091-23,Rattlesnake,South Yuba
DHSSI237-23,Deer Creek 2,South Yuba
DHSSI139-23,Rattlesnake,South Yuba
DHSSI150-23,Rock Creek,South Yuba
DHSSI183-23,Haypress Creek,North Yuba
DHSSI353-23,Poorman Creek,South Yuba
DHSSI281-23,Rock Creek,South Yuba
DHSSI167-23,Rush Creek,South Yuba
DHSSI208-23,Goodyears Creek,North Yuba
DHSSI023-23,Goodyears Creek,North Yuba
DHSSI103-23,Poorman Creek,South Yuba
DHSSI199-23,Goodyears Creek,North Yuba
DHSSI247-23,Shady Creek,South Yuba
DHSSI206-23,Goodyears Creek,North Yuba
DHSSI155-23,Rock Creek,South Yuba
DHSSI156-23,Rock Creek,South Yuba
DHSSI306-23,Haypress Creek,North Yuba
DHSSI116-23,"Oregon Creek, above Ridge Rd",Middle Yuba
DHSSI168-23,Rush Creek,South Yuba
DHSSI224-23,Deer Creek 10,South Yuba
DHSSI104-23,Poorman Creek,South Yuba
DHSSI105-23,Poorman Creek,South Yuba
DHSSI182-23,Haypress Creek,North Yuba
DHSSI207-23,Goodyears Creek,North Yuba
DHSSI355-23,Poorman Creek,South Yuba
DHSSI356-23,Poorman Creek,South Yuba
DHSSI064-23,"Oregon Creek, above Ridge Rd",Middle Yuba
DHSSI076-23,S Fk Yuba Golden Quartz,South Yuba
DHSSI077-23,S Fk Yuba Golden Quartz,South Yuba
DHSSI107-23,Poorman Creek,South Yuba
DHSSI184-23,Haypress Creek,North Yuba
DHSSI257-23,S.Fk.Yuba Purdon,South Yuba
DHSSI354-23,Poorman Creek,South Yuba
DHSSI128-23,S Fk Yuba Golden Quartz,South Yuba
DHSSI065-23,"Oregon Creek, above Ridge Rd",Middle Yuba
DHSSI022-23,"Oregon Creek, above Ridge Rd",Middle Yuba
DHSSI053-23,Poorman Creek,South Yuba
DHSSI054-23,Poorman Creek,South Yuba
DHSSI127-23,S Fk Yuba Golden Quartz,South Yuba
DHSSI151-23,Rock Creek,South Yuba
DHSSI307-23,Haypress Creek,North Yuba
DHSSI357-23,Poorman Creek,South Yuba
DHSSI364-23,Fall Creek,South Yuba
DHSSI108-23,Poorman Creek,South Yuba
DHSSI130-23,S Fk Yuba Golden Quartz,South Yuba
DHSSI290-23,Rush Creek,South Yuba
DHSSI068-23,"Oregon Creek, above Ridge Rd",Middle Yuba
DHSSI137-23,Rattlesnake,South Yuba
DHSSI202-23,Goodyears Creek,North Yuba
DHSSI309-23,Haypress Creek,North Yuba
DHSSI234-23,Deer Creek 2,South Yuba
DHSSI013-23,Goodyears Creek,North Yuba
DHSSI081-23,S Fk Yuba Golden Quartz,South Yuba
DHSSI283-23,Rock Creek,South Yuba
DHSSI291-23,Rush Creek,South Yuba
DHSSI282-23,Rock Creek,South Yuba
DHSSI056-23,Poorman Creek,South Yuba
DHSSI186-23,Haypress Creek,North Yuba
DHSSI203-23,Goodyears Creek,North Yuba
DHSSI055-23,Poorman Creek,South Yuba
DHSSI226-23,Deer Creek 10,South Yuba
DHSSI296-23,Rush Creek,South Yuba
DHSSI308-23,Haypress Creek,North Yuba
DHSSI039-23,Deer Creek 10,South Yuba
DHSSI069-23,"Oregon Creek, above Ridge Rd",Middle Yuba
DHSSI154-23,Rock Creek,South Yuba
DHSSI162-23,Rush Creek,South Yuba
DHSSI163-23,Rush Creek,South Yuba
DHSSI204-23,Goodyears Creek,North Yuba
DHSSI215-23,Lower Yuba,Yuba
DHSSI229-23,Deer Creek 10,South Yuba
DHSSI258-23,S.Fk.Yuba Purdon,South Yuba
DHSSI233-23,Deer Creek 2,South Yuba
DHSSI337-23,Fall Creek,South Yuba
DHSSI089-23,Rattlesnake,South Yuba
DHSSI189-23,Haypress Creek,North Yuba
DHSSI191-23,Haypress Creek,North Yuba
DHSSI380-23,Pauley Creek,North Yuba
DHSSI382-23,Pauley Creek,North Yuba
DHSSI190-23,Haypress Creek,North Yuba
DHSSI188-23,Haypress Creek,North Yuba
DHSSI265-23,Pauley Creek,North Yuba
DHSSI383-23,Pauley Creek,North Yuba
DHSSI379-23,S. Fk. Wolf Creek,Bear
DHSSI264-23,Pauley Creek,North Yuba
DHSSI374-23,S. Fk. Wolf Creek,Bear
DHSSI287-23,Fall Creek,South Yuba
DHSSI368-23,Shady Creek,South Yuba
DHSSI381-23,Pauley Creek,North Yuba
DHSSI261-23,S.Fk.Yuba Purdon,South Yuba
DHSSI376-23,S. Fk. Wolf Creek,Bear
DHSSI262-23,Pauley Creek,North Yuba
DHSSI375-23,S. Fk. Wolf Creek,Bear
DHSSI267-23,Pauley Creek,North Yuba
DHSSI266-23,Pauley Creek,North Yuba
DHSSI378-23,S. Fk. Wolf Creek,Bear
DHSSI268-23,Pauley Creek,North Yuba
DHSSI373-23,S. Fk. Wolf Creek,Bear
DHSSI119-23,"Oregon Creek, above Ridge Rd",Middle Yuba
DHSSI079-23,S Fk Yuba Golden Quartz,South Yuba
DHSSI080-23,S Fk Yuba Golden Quartz,South Yuba
DHSSI248-23,Shady Creek,South Yuba
DHSSI212-23,Lower Yuba,Yuba
DHSSI227-23,Deer Creek 10,South Yuba
DHSSI024-23,Deer Creek 10,South Yuba
DHSSI225-23,Deer Creek 10,South Yuba
DHSSI153-23,Rock Creek,South Yuba
DHSSI217-23,Deer Creek 10,South Yuba
DHSSI213-23,Lower Yuba,Yuba
DHSSI239-23,Deer Creek 2,South Yuba
DHSSI205-23,Goodyears Creek,North Yuba
DHSSI216-23,Lower Yuba,Yuba
DHSSI066-23,"Oregon Creek, above Ridge Rd",Middle Yuba
DHSSI067-23,"Oregon Creek, above Ridge Rd",Middle Yuba
DHSSI093-23,Rattlesnake,South Yuba
DHSSI152-23,Rock Creek,South Yuba
DHSSI313-23,Haypress Creek,North Yuba
DHSSI377-23,S. Fk. Wolf Creek,Bear
DHSSI372-23,S. Fk. Wolf Creek,Bear
DHSSI269-23,Pauley Creek,North Yuba
DHSSI312-23|,Haypress Creek,North Yuba
DHSSI270-23,Pauley Creek,North Yuba
DHSSI271-23,Pauley Creek,North Yuba
DHSSI263-23,Pauley Creek,North Yuba
