Process_ID,Sample_ID,Watershed,Current_ID,Percent_Match,Match_Genus,Match_Species
DHSSI388-24,SSI-Yuba-44350-A4,Yuba,Thienemannimyia,89.93,Microtendipes,Microtendipes sp. PA3
DHSSI458-24,SSI-Yuba-44350-G2,Yuba,Lebertia,90.02,Lebertia,Lebertia salebrosa
DHSSI389-24,SSI-Yuba-44350-A5,Yuba,Brillia,90.06,Brillia,Brillia modesta gr. sp.
DHSSI392-24,SSI-Yuba-44350-A8,Yuba,Boreoheptagyia,90.07,Sympotthastia,Sympotthastia takatensis
DHSSI386-24,SSI-Yuba-44350-A2,Yuba,Corynoneura,90.17,Corynoneura,Corynoneura sp. 26ES
DHSSI395-24,SSI-Yuba-44350-A11,Yuba,Cryptochironomus,90.17,Microchironomus,Microchironomus tener
DHSSI478-24,SSI-Yuba-44350-H10,Yuba,Ironodes,90.37,Ironodes,Ironodes sp. JMW1
DHSSI467-24,SSI-Yuba-44350-G11,Yuba,Micropsectra,90.8,Micropsectra,Micropsectra recurvata
DHSSI393-24,SSI-Yuba-44350-A9,Yuba,Tanytarsus,90.83,Tanytarsus,Tanytarsus bispinosus
DHSSI454-24,SSI-Yuba-44350-F10,Yuba,Neoplasta,90.83,Clinocera,Clinocera stigma
DHSSI456-24,SSI-Yuba-44350-F12,Yuba,Stempellinella,90.83,Stempellinella,Stempellinella edwardsi
DHSSI396-24,SSI-Yuba-44350-A12,Yuba,Demicryptochironomus,91.28,Demicryptochironomus,Demicryptochironomus vulneratus
DHSSI452-24,SSI-Yuba-44350-F8,Yuba,Antocha,91.28,Chionea,Chionea alexandriana
DHSSI402-24,SSI-Yuba-44350-B6,Yuba,Macropelopia,93.64,Macropelopia,Macropelopia pergrandis
DHSSI459-24,SSI-Yuba-44350-G3,Yuba,Microtendipes rydalensis,94.25,Microtendipes,Microtendipes rydalensis grp.
DHSSI473-24,SSI-Yuba-44350-H5,Yuba,Pagastia,95.09,Pagastia,Pagastia orthogonia
DHSSI423-24,SSI-Yuba-44350-D3,Yuba,Neoleptophlebia,96.01,Neoleptophlebia,Neoleptophlebia memorialis
DHSSI426-24,SSI-Yuba-44350-D6,Yuba,Neoleptophlebia,96.17,Neoleptophlebia,Neoleptophlebia memorialis
DHSSI415-24,SSI-Sentinel-44350-C7,Sentinel,Rhyacophila jewetti,96.24,Rhyacophila,Rhyacophila vaefes
DHSSI460-24,SSI-Yuba-44350-G4,Yuba,Eukiefferiella devonica,96.31,Eukiefferiella,Eukiefferiella devonica
DHSSI391-24,SSI-Yuba-44350-A7,Yuba,Phaenopsectra,96.51,Conchapelopia,Conchapelopia sp. CAM07
DHSSI440-24,SSI-Yuba-44350-E8,Yuba,Sialis,96.79,Sialis,Sialis sp. 7G202241
DHSSI406-24,SSI-Sentinel-44350-B10,Sentinel,Dolophilodes aequalis,96.95,Dolophilodes,Dolophilodes aequalis
DHSSI414-24,SSI-Sentinel-44350-C6,Sentinel,Rhyacophila pellisa,98.46,Rhyacophila,Rhyacophila valuma
DHSSI476-24,SSI-Yuba-44350-H8,Yuba,Epeorus longimanus,98.47,Epeorus,Epeorus longimanus
DHSSI470-24,SSI-Yuba-44350-H2,Yuba,Potthastia gaedii,98.86,Potthastia,Potthastia sp. TP16
DHSSI446-24,SSI-Yuba-44350-F2,Yuba,Psychoglypha,98.87,Psychoglypha,Psychoglypha sp.
DHSSI421-24,SSI-Yuba-44350-D1,Yuba,Epeorus,98.88,Epeorus,Epeorus sp.
DHSSI430-24,SSI-Yuba-44350-D10,Yuba,Epeorus,98.88,Epeorus,Epeorus sp.
DHSSI437-24,SSI-Yuba-44350-E5,Yuba,Sweltsa,99.06,Sweltsa,Sweltsa borealis
DHSSI436-24,SSI-Yuba-44350-E4,Yuba,Yoraperla,99.08,Yoraperla,Yoraperla nigrisoma
DHSSI450-24,SSI-Yuba-44350-F6,Yuba,Lepidostoma cascadense,99.08,Lepidostoma,Lepidostoma cascadense
DHSSI455-24,SSI-Yuba-44350-F11,Yuba,Potthastia gaedii,99.08,Potthastia,Potthastia sp. TP16
DHSSI468-24,SSI-Yuba-44350-G12,Yuba,Tvetenia bavarica,99.08,Tvetenia,Tvetenia bavarica gr.
DHSSI409-24,SSI-Sentinel-44350-C1,Sentinel,Onocosmoecus sequoiae,99.15,Onocosmoecus,Onocosmoecus sequoiae
DHSSI479-24,SSI-Yuba-44350-H11,Yuba,Drunella flavilinea,99.19,Drunella,Drunella flavilinea
DHSSI429-24,SSI-Yuba-44350-D9,Yuba,Baetis,99.5,Baetis,Baetis bicaudatus
DHSSI477-24,SSI-Yuba-44350-H9,Yuba,Baetis,99.5,Baetis,Baetis bicaudatus
DHSSI443-24,SSI-Yuba-44350-E11,Yuba,Lepidostoma,99.52,Lepidostoma,Lepidostoma unicolor
DHSSI442-24,SSI-Yuba-44350-E10,Yuba,Ephemerella excrucians,99.54,Ephemerella,Ephemerella dorothea
DHSSI438-24,SSI-Yuba-44350-E6,Yuba,Heterlimnius corpulentus,99.67,Heterlimnius,Heterlimnius corpulentus
DHSSI464-24,SSI-Yuba-44350-G8,Yuba,Thienemannimyia,99.68,Conchapelopia,Conchapelopia sp. CATP8.2
DHSSI439-24,SSI-Yuba-44350-E7,Yuba,Ampumixis dispar,99.69,Ampumixis,Ampumixis dispar
DHSSI451-24,SSI-Yuba-44350-F7,Yuba,Rhyacophila angelita,99.69,Rhyacophila,Rhyacophila perplana
DHSSI433-24,SSI-Yuba-44350-E1,Yuba,Malenka,99.84,Malenka,Malenka californica
DHSSI434-24,SSI-Yuba-44350-E2,Yuba,Malenka,99.84,Malenka,Malenka californica
DHSSI424-24,SSI-Yuba-44350-D4,Yuba,Drunella flavilinea,99.85,Drunella,Drunella flavilinea
DHSSI441-24,SSI-Yuba-44350-E9,Yuba,Orohermes crepusculus,99.85,Orohermes,Orohermes crepusculus
DHSSI444-24,SSI-Yuba-44350-E12,Yuba,Ceratopsyche,99.85,Hydropsyche,Hydropsyche oslari
DHSSI447-24,SSI-Yuba-44350-F3,Yuba,Plectrocnemia,99.85,Polycentropus,Polycentropus variegatus
DHSSI449-24,SSI-Yuba-44350-F5,Yuba,Rhyacophila brunnea,99.85,Rhyacophila,Rhyacophila DER sp ac
DHSSI474-24,SSI-Yuba-44350-H6,Yuba,Planariidae,99.85,Hydropsyche,Hydropsyche oslari
DHSSI405-24,SSI-Sentinel-44350-B9,Sentinel,Rhyacophila,100,Rhyacophila,Rhyacophila DER sp ac
DHSSI418-24,SSI-Yuba-44350-C10,Yuba,Drunella flavilinea,100,Drunella,Drunella flavilinea
DHSSI425-24,SSI-Yuba-44350-D5,Yuba,Diphetor hageni,100,Diphetor,Diphetor hageni
DHSSI428-24,SSI-Yuba-44350-D8,Yuba,Diphetor hageni,100,Diphetor,Diphetor hageni
DHSSI445-24,SSI-Yuba-44350-F1,Yuba,Rhyacophila betteni,100,Rhyacophila,Rhyacophila betteni gr.
DHSSI448-24,SSI-Yuba-44350-F4,Yuba,Hydroptila,100,Hydroptila,Hydroptila arctia
DHSSI453-24,SSI-Yuba-44350-F9,Yuba,Clinocera,100,Clinocera,Clinocera binotata
DHSSI465-24,SSI-Yuba-44350-G9,Yuba,Micropsectra,100,Micropsectra,Micropsectra polita
DHSSI480-24,SSI-Yuba-44351-A1,Yuba,Rhithrogena,90.37,Rhithrogena,Rhithrogena impersonata
DHSSI481-24,SSI-Yuba-44351-A2,Yuba,Drunella flavilinea,100,Drunella,Drunella flavilinea
DHSSI482-24,SSI-Yuba-44351-A3,Yuba,Epeorus,98.69,Epeorus,Epeorus sp.
DHSSI484-24,SSI-Yuba-44351-A5,Yuba,Baetis,99.34,Baetis,Baetis bicaudatus
DHSSI485-24,SSI-Yuba-44351-A6,Yuba,Cinygma,84.86,Cinygma,Cinygma sp. RN1
DHSSI486-24,SSI-Yuba-44351-A7,Yuba,Dolophilodes,96.28,Dolophilodes,Dolophilodes aequalis
DHSSI487-24,SSI-Yuba-44351-A8,Yuba,Ceratopsyche,99.85,Hydropsyche,Hydropsyche oslari
DHSSI488-24,SSI-Yuba-44351-A9,Yuba,Lepidostoma,99.52,Lepidostoma,Lepidostoma unicolor
DHSSI489-24,SSI-Yuba-44351-A10,Yuba,Agapetus,98,Agapetus,Agapetus sp.
DHSSI490-24,SSI-Yuba-44351-A11,Yuba,Glossosoma,100,Glossosoma,Glossosoma oregonense
DHSSI491-24,SSI-Yuba-44351-A12,Yuba,Apatania,99.54,Apatania,Apatania sorex
DHSSI492-24,SSI-Yuba-44351-B1,Yuba,Siphlonurus,86.09,Siphlonurus,Siphlonurus minnoi
DHSSI493-24,SSI-Yuba-44351-B2,Yuba,Narpus concolor,93.04,Narpus,Narpus sp.
DHSSI494-24,SSI-Yuba-44351-B3,Yuba,Octogomphus specularis,99.85,Octogomphus,Octogomphus specularis
DHSSI495-24,SSI-Yuba-44351-B4,Yuba,Ampumixis dispar,99.85,Ampumixis,Ampumixis dispar
DHSSI496-24,SSI-Yuba-44351-B5,Yuba,Ampumixis dispar,99.85,Ampumixis,Ampumixis dispar
DHSSI497-24,SSI-Yuba-44351-B6,Yuba,Pisidium,92.96,Pisidium,Pisidium ferrugineum
DHSSI498-24,SSI-Yuba-44351-B7,Yuba,Brillia,90.15,Brillia,Brillia modesta gr. sp.
DHSSI499-24,SSI-Yuba-44351-B8,Yuba,Polypedilum scalaenum,89.25,Polypedilum,Polypedilum sp. 13SC
DHSSI500-24,SSI-Yuba-44351-B9,Yuba,Ameletus,85.65,Ameletus,Ameletus dissitus
DHSSI501-24,SSI-Yuba-44351-B10,Yuba,Sperchonopsis,86.85,Sperchon,Sperchon rostratus
DHSSI503-24,SSI-Yuba-44351-B12,Yuba,Tricorythodes,99.5,Baetis,Baetis bicaudatus
DHSSI504-24,SSI-Yuba-44351-C1,Yuba,Caenis,98.08,Caenis,Caenis latipennis
DHSSI505-24,SSI-Yuba-44351-C2,Yuba,Mystacides,100,Mystacides,Mystacides alafimbriatus
DHSSI506-24,SSI-Yuba-44351-C3,Yuba,Tinodes,94.47,Tinodes,Tinodes consuetus
DHSSI507-24,SSI-Yuba-44351-C4,Yuba,Chimarra,96.85,Chimarra,Chimarra utahensis
DHSSI508-24,SSI-Yuba-44351-C5,Yuba,Hydropsyche,100,Hydropsyche,Hydropsyche californica
DHSSI511-24,SSI-Yuba-44351-C8,Yuba,Maruina lanceolata,98.51,Maruina,Maruina lanceolata
DHSSI512-24,SSI-Yuba-44351-C9,Yuba,Physa,100,Physella,Physella acuta
DHSSI514-24,SSI-Yuba-44351-C11,Yuba,Pisidium,99.18,Pisidium,Pisidium sp.
DHSSI515-24,SSI-Yuba-44351-C12,Yuba,Ferrissia,99.84,Ferrissia,Ferrissia californica
DHSSI516-24,SSI-Yuba-44351-D1,Yuba,Paratendipes,99.69,Paratendipes,Paratendipes albimanus
DHSSI517-24,SSI-Yuba-44351-D2,Yuba,Cryptochironomus,89.3,Cladopelma,Cladopelma viridulum
DHSSI518-24,SSI-Yuba-44351-D3,Yuba,Dicrotendipes,88.99,Parachironomus,Parachironomus sp.
DHSSI520-24,SSI-Yuba-44351-D5,Yuba,Serratella micheneri,98.78,Serratella,Serratella micheneri
DHSSI521-24,SSI-Yuba-44351-D6,Yuba,Epeorus,98.69,Epeorus,Epeorus sp.
DHSSI522-24,SSI-Yuba-44351-D7,Yuba,Ameletus,86.67,Ameletus,Ameletus andersoni
DHSSI523-24,SSI-Yuba-44351-D8,Yuba,Tricorythodes,89.55,Tricorythodes,Tricorythodes sp. CA4
DHSSI524-24,SSI-Yuba-44351-D9,Yuba,Afghanurus,98.17,Ecdyonurus,Ecdyonurus criddlei
DHSSI525-24,SSI-Yuba-44351-D10,Yuba,Baetis,99.85,Baetis,Baetis tricaudatus
DHSSI526-24,SSI-Yuba-44351-D11,Yuba,Acentrella,100,Acentrella,Acentrella insignificans
DHSSI527-24,SSI-Yuba-44351-D12,Yuba,Serratella micheneri,99.69,Serratella,Serratella micheneri
DHSSI528-24,SSI-Yuba-44351-E1,Yuba,Skwala,100,Skwala,Skwala americana
DHSSI529-24,SSI-Yuba-44351-E2,Yuba,Malenka,99.69,Malenka,Malenka californica
DHSSI530-24,SSI-Yuba-44351-E3,Yuba,Hesperoperla,100,Hesperoperla,Hesperoperla pacifica
DHSSI531-24,SSI-Yuba-44351-E4,Yuba,Glossosoma,99.85,Glossosoma,Glossosoma oregonense
DHSSI532-24,SSI-Yuba-44351-E5,Yuba,Rhyacophila betteni,99.35,Rhyacophila,Rhyacophila malkini
DHSSI533-24,SSI-Yuba-44351-E6,Yuba,Wormaldia,99.69,Wormaldia,Wormaldia gabriella
DHSSI534-24,SSI-Yuba-44351-E7,Yuba,Ochrotrichia,94.78,Ochrotrichia,Ochrotrichia logana
DHSSI536-24,SSI-Yuba-44351-E9,Yuba,Glossosoma,99.85,Glossosoma,Glossosoma oregonense
DHSSI537-24,SSI-Yuba-44351-E10,Yuba,Deuteronectes picturatus,100,Nectoporus,Nectoporus abbreviatus
DHSSI539-24,SSI-Yuba-44351-E12,Yuba,Zaitzevia,87.36,Okalia,Okalia necopinata
DHSSI540-24,SSI-Yuba-44351-F1,Yuba,Zaitzevia,87.52,Okalia,Okalia necopinata
DHSSI541-24,SSI-Yuba-44351-F2,Yuba,Simulium,99.53,Simulium,Simulium saxosum
DHSSI542-24,SSI-Yuba-44351-F3,Yuba,Antocha,91.12,Chionea,Chionea lutescens
DHSSI543-24,SSI-Yuba-44351-F4,Yuba,Clitellata,99.85,Eiseniella,Eiseniella tetraedra
DHSSI544-24,SSI-Yuba-44351-F5,Yuba,Stenocolus scutellaris,85.49,Ictelmis,Ictelmis martae
DHSSI545-24,SSI-Yuba-44351-F6,Yuba,Timpanoga hecuba,100,Timpanoga,Timpanoga hecuba
DHSSI546-24,SSI-Yuba-44351-F7,Yuba,Rhyacophila angelita,99.39,Rhyacophila,Rhyacophila perplana
DHSSI547-24,SSI-Yuba-44351-F8,Yuba,Plectrocnemia,99.85,Polycentropus,Polycentropus halidus
DHSSI548-24,SSI-Yuba-44351-F9,Yuba,Calineuria californica,100,Calineuria,Calineuria californica
DHSSI549-24,SSI-Yuba-44351-F10,Yuba,Pacifastacus leniusculus,100,Pacifastacus,Pacifastacus leniusculus
DHSSI550-24,SSI-Yuba-44351-F11,Yuba,Cardiocladius,87.75,Cardiocladius,Cardiocladius fuscus
DHSSI551-24,SSI-Yuba-44351-F12,Yuba,Afghanurus,98.01,Ecdyonurus,Ecdyonurus criddlei
DHSSI552-24,SSI-Yuba-44351-G1,Yuba,Phaenopsectra,89.86,Phaenopsectra,Phaenopsectra punctipes
DHSSI553-24,SSI-Yuba-44351-G2,Yuba,Psychoglypha,100,Psychoglypha,Psychoglypha bella
DHSSI554-24,SSI-Yuba-44351-G3,Yuba,Rheotanytarsus,87.79,Rheotanytarsus,Rheotanytarsus muscicola
DHSSI555-24,SSI-Yuba-44351-G4,Yuba,Pentaneura,99.85,Pentaneura,Pentaneura sp. TRP
DHSSI556-24,SSI-Yuba-44351-G5,Yuba,Eukiefferiella brehmi,89.14,Hydrobaenus,Hydrobaenus conformis
DHSSI557-24,SSI-Yuba-44351-G6,Yuba,Cricotopus,90.67,Cricotopus,Cricotopus cf. flavocinctus
DHSSI558-24,SSI-Yuba-44351-G7,Yuba,Synorthocladius,96.04,Synorthocladius,Synorthocladius semivirens
DHSSI560-24,SSI-Yuba-44351-G9,Yuba,Microtendipes pedellus,99.39,Microtendipes,Microtendipes pedellus
DHSSI561-24,SSI-Yuba-44351-G10,Yuba,Sperchon,92.05,Sperchon,Sperchon sp0938A
DHSSI562-24,SSI-Yuba-44351-G11,Yuba,Pentaneura,99.69,Pentaneura,Pentaneura sp. TRP
DHSSI563-24,SSI-Yuba-44351-G12,Yuba,Paratanytarsus,97.08,Paratanytarsus,Paratanytarsus sp.
DHSSI564-24,SSI-Yuba-44351-H1,Yuba,Zavrelimyia,97.76,Zavrelimyia,Zavrelimyia sinuosa
DHSSI565-24,SSI-Yuba-44351-H2,Yuba,Paracladopelma,91.11,Paracladopelma,Paracladopelma undine
DHSSI566-24,SSI-Yuba-44351-H3,Yuba,Pseudochironomus,100,Pseudochironomus,Pseudochironomus richardsoni
DHSSI567-24,SSI-Yuba-44351-H4,Yuba,Heterotrissocladius marcidus,96.1,Heterotrissocladius,Heterotrissocladius sp.
DHSSI568-24,SSI-Yuba-44351-H5,Yuba,Lebertia,91.9,Lebertia,Lebertia sp09103A
DHSSI569-24,SSI-Yuba-44351-H6,Yuba,Sperchon,88.47,Sperchon,Sperchon insignis
DHSSI571-24,SSI-Yuba-44351-H8,Yuba,Fossaria,100,Galba,Galba truncatula
DHSSI572-24,SSI-Yuba-44351-H9,Yuba,Atrichopogon,93.54,Forcipomyia,Forcipomyia sp. 4ES
DHSSI573-24,SSI-Yuba-44351-H10,Yuba,Rheocricotopus,100,Rheocricotopus,Rheocricotopus robacki
DHSSI574-24,SSI-Yuba-44351-H11,Yuba,Ablabesmyia,89.97,Ablabesmyia,Ablabesmyia aspera
DHSSI575-24,SSI-Yuba-44352-A1,Yuba,Zavrelimyia,99.16,Zavrelimyia,
DHSSI576-24,SSI-Yuba-44352-A2,Yuba,Parochlus kiefferi,99.85,,
DHSSI577-24,SSI-Yuba-44352-A3,Yuba,Potthastia longimanus,95.87,Potthastia,
DHSSI578-24,SSI-Yuba-44352-A4,Yuba,Tvetenia discoloripes,99.65,Smittia,
DHSSI579-24,SSI-Yuba-44352-A5,Yuba,Polypedilum aviceps,100,,
DHSSI580-24,SSI-Yuba-44352-A6,Yuba,Dicrotendipes,100,Dicrotendipes,
DHSSI581-24,SSI-Yuba-44352-A7,Yuba,Rheotanytarsus,100,,
DHSSI582-24,SSI-Yuba-44352-A8,Yuba,Thienemanniella xena,100,,
DHSSI583-24,SSI-Yuba-44352-A9,Yuba,Paratanytarsus,97.7,,
DHSSI584-24,SSI-Yuba-44352-A10,Yuba,Apedilum,100,Microtendipes,
DHSSI585-24,SSI-Yuba-44352-A11,Yuba,Phaenopsectra,100,Phaenopsectra,
DHSSI588-24,SSI-ExcelsiorRG-44352-B2,Excelsior,Pseudodiamesa,99.68,Pseudodiamesa,Pseudodiamesa sp.
DHSSI591-24,SSI-Yuba-44352-B5,Yuba,Baetis,100,Baetis,
DHSSI592-24,SSI-Yuba-44352-B6,Yuba,Serratella tibialis,100,Serratella,Serratella tibialis
DHSSI593-24,SSI-Yuba-44352-B7,Yuba,Epeorus,100,Epeorus,
DHSSI595-24,SSI-Yuba-44352-B9,Yuba,Neoleptophlebia,99.39,Paraleptophlebia,
DHSSI596-24,SSI-Yuba-44352-B10,Yuba,Ameletus,99.85,Ameletus,
DHSSI597-24,SSI-Yuba-44352-B11,Yuba,Baetis,99.69,Baetis,
DHSSI598-24,SSI-Yuba-44352-B12,Yuba,Calineuria californica,99.49,Ameletus,
DHSSI599-24,SSI-Yuba-44352-C1,Yuba,Gumaga,99.85,Gumaga,
DHSSI601-24,SSI-Yuba-44352-C3,Yuba,Heteroplectron californicum,100,Heteroplectron,Heteroplectron californicum
DHSSI603-24,SSI-Yuba-44352-C5,Yuba,Rhyacophila angelita,99.08,Rhyacophila,Rhyacophila perplana
DHSSI604-24,SSI-Yuba-44352-C6,Yuba,Eubrianax edwardsii,100,Eubrianax,Eubrianax edwardsii
DHSSI605-24,SSI-Yuba-44352-C7,Yuba,Orohermes crepusculus,99.85,Orohermes,Orohermes crepusculus
DHSSI606-24,SSI-Yuba-44352-C8,Yuba,Optioservus quadrimaculatus,100,Optioservus,Optioservus quadrimaculatus
DHSSI607-24,SSI-Yuba-44352-C9,Yuba,Optioservus quadrimaculatus,100,Optioservus,Optioservus divergens
DHSSI608-24,SSI-Yuba-44352-C10,Yuba,Zaitzevia,99.39,Heterlimnius,Heterlimnius corpulentus
DHSSI609-24,SSI-Yuba-44352-C11,Yuba,Ampumixis dispar,99.69,Ampumixis,Ampumixis dispar
DHSSI610-24,SSI-Yuba-44352-C12,Yuba,Epeorus,99.85,Epeorus,
DHSSI611-24,SSI-Yuba-44352-D1,Yuba,Hexatoma,99.85,Hexatoma,
DHSSI612-24,SSI-Yuba-44352-D2,Yuba,Suwallia,99.69,Suwallia,
DHSSI613-24,SSI-Yuba-44352-D3,Yuba,Nectoporus obesus,86.39,Deronectes,Deronectes moestus
DHSSI614-24,SSI-Yuba-44352-D4,Yuba,Ameletus,99.85,Ameletus,
DHSSI615-24,SSI-Yuba-44352-D5,Yuba,Cryptolabis,99.54,,
DHSSI616-24,SSI-Yuba-44352-D6,Yuba,Dicranota,100,Dicranota,
DHSSI617-24,SSI-Yuba-44352-D7,Yuba,Torrenticola,91.47,,
DHSSI618-24,SSI-Yuba-44352-D8,Yuba,Torrenticola,97.4,Torrenticola,
DHSSI619-24,SSI-Yuba-44352-D9,Yuba,Rheotanytarsus,99.54,Rheotanytarsus,
DHSSI620-24,SSI-Yuba-44352-D10,Yuba,Thienemannimyia,99.52,Conchapelopia,Conchapelopia sp. CATP8.2
DHSSI621-24,SSI-Yuba-44352-D11,Yuba,Pagastia partica,91.74,Potthastia,Potthastia montium
DHSSI622-24,SSI-Yuba-44352-D12,Yuba,Zavrelimyia,99.84,Zavrelimyia,Zavrelimyia sinuosa
DHSSI623-24,SSI-Yuba-44352-E1,Yuba,Eukiefferiella pseudomontana,98.47,Eukiefferiella,Eukiefferiella pseudomontana
DHSSI624-24,SSI-Yuba-44352-E2,Yuba,Baetis,100,Baetis,
DHSSI625-24,SSI-Yuba-44352-E3,Yuba,Drunella spinifera,85.78,,
DHSSI626-24,SSI-Yuba-44352-E4,Yuba,Afghanurus,100,Afghanurus,
DHSSI628-24,SSI-Yuba-44352-E6,Yuba,Drunella doddsii,98.78,Drunella,Drunella doddsii
DHSSI629-24,SSI-Yuba-44352-E7,Yuba,Epeorus,100,Epeorus,
DHSSI630-24,SSI-Yuba-44352-E8,Yuba,Afghanurus,100,Afghanurus,
DHSSI631-24,SSI-Yuba-44352-E9,Yuba,Epeorus,100,Epeorus,
DHSSI632-24,SSI-Yuba-44352-E10,Yuba,Serratella micheneri,99.69,Ephemerella,Ephemerella dorothea
DHSSI633-24,SSI-Yuba-44352-E11,Yuba,Drunella spinifera,85.78,,
DHSSI634-24,SSI-Yuba-44352-E12,Yuba,Perlinodes aurea,99.39,Perlinodes,Perlinodes aurea
DHSSI635-24,SSI-Yuba-44352-F1,Yuba,Malenka,99.84,Malenka,
DHSSI636-24,SSI-Yuba-44352-F2,Yuba,Zapada,100,,
DHSSI637-24,SSI-Yuba-44352-F3,Yuba,Calineuria californica,99.82,Calineuria,Calineuria californica
DHSSI638-24,SSI-Yuba-44352-F4,Yuba,Micrasema,95.73,Micrasema,Micrasema bactro
DHSSI639-24,SSI-Yuba-44352-F5,Yuba,Lepidostoma,100,Lepidostoma,Lepidostoma rayneri
DHSSI640-24,SSI-Yuba-44352-F6,Yuba,Arctopsyche grandis,100,Arctopsyche,Arctopsyche grandis
DHSSI641-24,SSI-Yuba-44352-F7,Yuba,Rhyacophila narvae,100,Rhyacophila,Rhyacophila narvae
DHSSI642-24,SSI-Yuba-44352-F8,Yuba,Agapetus,98,,
DHSSI643-24,SSI-Yuba-44352-F9,Yuba,Lepidostoma,100,Lepidostoma,Lepidostoma rayneri
DHSSI644-24,SSI-Yuba-44352-F10,Yuba,Micrasema,95.73,Micrasema,Micrasema bactro
DHSSI645-24,SSI-Yuba-44352-F11,Yuba,Neophylax,100,,
DHSSI646-24,SSI-Yuba-44352-F12,Yuba,Ceratopsyche,99.85,Hydropsyche,Hydropsyche oslari
DHSSI647-24,SSI-Yuba-44352-G1,Yuba,Gumaga,99.85,Gumaga,
DHSSI648-24,SSI-Yuba-44352-G2,Yuba,Ampumixis dispar,99.69,Ampumixis,Ampumixis dispar
DHSSI649-24,SSI-Yuba-44352-G3,Yuba,Optioservus quadrimaculatus,100,Optioservus,Optioservus quadrimaculatus
DHSSI650-24,SSI-Yuba-44352-G4,Yuba,Eubrianax edwardsii,100,Eubrianax,Eubrianax edwardsii
DHSSI651-24,SSI-Yuba-44352-G5,Yuba,Oroperla barbara,99.69,Oroperla,Oroperla barbara
DHSSI652-24,SSI-Yuba-44352-G6,Yuba,Arctopsyche grandis,100,Arctopsyche,Arctopsyche grandis
DHSSI653-24,SSI-Yuba-44352-G7,Yuba,Planariidae,99.69,Baetis,
DHSSI654-24,SSI-Yuba-44352-G8,Yuba,Diphetor hageni,99.39,Diphetor,Diphetor hageni
DHSSI655-24,SSI-Yuba-44352-G9,Yuba,Neoleptophlebia,99.66,Paraleptophlebia,
DHSSI656-24,SSI-Yuba-44352-G10,Yuba,Baetis,99.69,Baetis,
DHSSI657-24,SSI-Yuba-44352-G11,Yuba,Cinygma,99.53,Cinygma,
DHSSI658-24,SSI-Yuba-44352-G12,Yuba,Ironodes,99.69,Ironodes,
DHSSI659-24,SSI-Yuba-44352-H1,Yuba,Baetis,99.83,Baetis,
